,Geography,Percent 20-49,Percent Male 20-49,Median Age,County,State
1,0500000US01003,40.0,41.0,43.9,Baldwin County,AL
2,0500000US01015,42.1,42.10000000000001,40.2,Calhoun County,AL
3,0500000US01043,42.4,43.4,40.5,Cullman County,AL
4,0500000US01049,40.800000000000004,42.199999999999996,40.2,DeKalb County,AL
5,0500000US01051,46.099999999999994,45.7,40.0,Elmore County,AL
6,0500000US01055,41.8,42.50000000000001,41.5,Etowah County,AL
7,0500000US01069,43.099999999999994,42.599999999999994,40.5,Houston County,AL
8,0500000US01073,46.3,46.6,38.3,Jefferson County,AL
9,0500000US01077,43.50000000000001,45.0,40.0,Lauderdale County,AL
10,0500000US01081,50.800000000000004,51.5,33.3,Lee County,AL
11,0500000US01083,45.5,46.300000000000004,40.8,Limestone County,AL
12,0500000US01089,46.4,47.7,39.6,Madison County,AL
13,0500000US01095,41.6,44.2,37.8,Marshall County,AL
14,0500000US01097,44.9,44.6,38.8,Mobile County,AL
15,0500000US01101,46.5,47.0,37.2,Montgomery County,AL
16,0500000US01103,41.3,42.800000000000004,40.8,Morgan County,AL
17,0500000US01115,42.8,44.4,41.3,St. Clair County,AL
18,0500000US01117,44.4,44.7,40.6,Shelby County,AL
19,0500000US01121,43.8,46.3,42.9,Talladega County,AL
20,0500000US01125,50.0,50.7,34.4,Tuscaloosa County,AL
21,0500000US02020,51.3,51.2,35.2,Anchorage Municipality,AK
22,0500000US02090,54.3,57.2,32.0,Fairbanks North Star Borough,AK
23,0500000US02170,46.2,47.400000000000006,36.9,Matanuska-Susitna Borough,AK
24,0500000US04001,42.5,44.2,35.9,Apache County,AZ
25,0500000US04003,41.0,44.1,43.2,Cochise County,AZ
26,0500000US04005,47.50000000000001,49.89999999999999,33.0,Coconino County,AZ
27,0500000US04013,47.9,48.7,37.3,Maricopa County,AZ
28,0500000US04015,32.9,33.6,53.4,Mohave County,AZ
29,0500000US04017,39.2,41.2,38.4,Navajo County,AZ
30,0500000US04019,45.5,46.79999999999999,39.1,Pima County,AZ
31,0500000US04021,44.2,47.4,39.8,Pinal County,AZ
32,0500000US04025,31.3,32.2,55.3,Yavapai County,AZ
33,0500000US04027,45.3,48.1,35.4,Yuma County,AZ
34,0500000US05007,48.0,48.7,35.8,Benton County,AR
35,0500000US05031,48.699999999999996,47.19999999999999,33.6,Craighead County,AR
36,0500000US05045,49.7,51.49999999999999,33.3,Faulkner County,AR
37,0500000US05051,39.8,40.9,45.5,Garland County,AR
38,0500000US05069,43.2,44.9,39.3,Jefferson County,AR
39,0500000US05085,48.0,47.9,36.8,Lonoke County,AR
40,0500000US05119,46.8,46.6,37.7,Pulaski County,AR
41,0500000US05125,43.4,44.10000000000001,40.6,Saline County,AR
42,0500000US05131,46.300000000000004,47.4,37.4,Sebastian County,AR
43,0500000US05143,52.19999999999999,53.5,32.8,Washington County,AR
44,0500000US05145,43.50000000000001,43.1,38.0,White County,AR
45,0500000US06001,50.699999999999996,51.5,38.8,Alameda County,CA
46,0500000US06007,46.4,48.1,36.8,Butte County,CA
47,0500000US06013,44.6,45.300000000000004,40.4,Contra Costa County,CA
48,0500000US06017,37.1,38.5,45.7,El Dorado County,CA
49,0500000US06019,48.0,48.699999999999996,33.1,Fresno County,CA
50,0500000US06023,46.4,49.4,39.9,Humboldt County,CA
51,0500000US06025,46.2,48.9,32.8,Imperial County,CA
52,0500000US06029,48.900000000000006,50.7,32.5,Kern County,CA
53,0500000US06031,54.1,59.2,32.2,Kings County,CA
54,0500000US06033,38.099999999999994,39.4,43.9,Lake County,CA
55,0500000US06037,50.5,51.4,37.8,Los Angeles County,CA
56,0500000US06039,44.8,42.9,35.1,Madera County,CA
57,0500000US06041,36.3,38.3,46.9,Marin County,CA
58,0500000US06045,39.3,42.2,42.4,Mendocino County,CA
59,0500000US06047,47.699999999999996,48.4,31.8,Merced County,CA
60,0500000US06053,46.3,48.300000000000004,35.4,Monterey County,CA
61,0500000US06055,43.0,43.9,42.7,Napa County,CA
62,0500000US06057,35.9,36.699999999999996,50.2,Nevada County,CA
63,0500000US06059,47.2,47.9,39.2,Orange County,CA
64,0500000US06061,40.699999999999996,41.8,42.3,Placer County,CA
