,state,county,expense.rent,pop
1037,AK,Anchorage Municipality,10853.7142781554,291826
1112,AK,Fairbanks North Star Borough,11093.7142781554,97581
1157,AK,Juneau City and Borough,12005.7142781554,31275
1172,AK,Kenai Peninsula Borough,9149.71427815536,55400
1247,AK,Matanuska-Susitna Borough,8573.71427815536,88995
2,AL,Autauga County,7145.71427815536,54571
17,AL,Baldwin County,8069.71427815536,182265
32,AL,Barbour County,4829.71427815536,27457
62,AL,Blount County,7949.71427815536,57322
107,AL,Calhoun County,4949.71427815536,118572
122,AL,Chambers County,5741.71427815536,34215
137,AL,Cherokee County,4493.71427815536,25989
152,AL,Chilton County,5381.71427815536,43643
182,AL,Clarke County,5249.71427815536,25833
227,AL,Coffee County,5489.71427815536,49948
242,AL,Colbert County,5201.71427815536,54428
287,AL,Covington County,4649.71427815536,37765
317,AL,Cullman County,5213.71427815536,80406
332,AL,Dale County,4805.71427815536,50251
347,AL,Dallas County,5081.71427815536,43820
362,AL,DeKalb County,4637.71427815536,71109
377,AL,Elmore County,7145.71427815536,79303
392,AL,Escambia County,5381.71427815536,38319
407,AL,Etowah County,4793.71427815536,104430
437,AL,Franklin County,5309.71427815536,31704
452,AL,Geneva County,5021.71427815536,26790
512,AL,Houston County,5021.71427815536,101547
527,AL,Jackson County,5705.71427815536,53227
542,AL,Jefferson County,7949.71427815536,658466
572,AL,Lauderdale County,5201.71427815536,92709
587,AL,Lawrence County,5129.71427815536,34339
602,AL,Lee County,6317.71427815536,140247
617,AL,Limestone County,7013.71427815536,82782
662,AL,Madison County,7013.71427815536,334811
692,AL,Marion County,4493.71427815536,30776
707,AL,Marshall County,4625.71427815536,93019
722,AL,Mobile County,6965.71427815536,412992
752,AL,Montgomery County,7145.71427815536,229363
767,AL,Morgan County,5129.71427815536,119490
812,AL,Pike County,5273.71427815536,32899
842,AL,Russell County,7361.71427815536,52947
872,AL,Shelby County,7949.71427815536,195085
857,AL,St. Clair County,7949.71427815536,83593
902,AL,Talladega County,4889.71427815536,82291
917,AL,Tallapoosa County,5261.71427815536,41616
932,AL,Tuscaloosa County,7253.71427815536,194656
947,AL,Walker County,4817.71427815536,67023
1697,AR,Baxter County,5285.71427815536,41513
1712,AR,Benton County,5825.71427815536,221339
1727,AR,Boone County,4697.71427815536,36903
1772,AR,Carroll County,4781.71427815536,27446
1832,AR,Cleburne County,5141.71427815536,25970
1892,AR,Craighead County,6101.71427815536,96443
1907,AR,Crawford County,5141.71427815536,61948
1922,AR,Crittenden County,7697.71427815536,50902
1997,AR,Faulkner County,7217.71427815536,113237
2042,AR,Garland County,5837.71427815536,96024
2072,AR,Greene County,5849.71427815536,42090
2102,AR,Hot Spring County,5273.71427815536,32923
2132,AR,Independence County,4685.71427815536,36647
2177,AR,Jefferson County,5333.71427815536,77435
2192,AR,Johnson County,4877.71427815536,25540
2297,AR,Lonoke County,7217.71427815536,68356
2342,AR,Miller County,6293.71427815536,43462
