,county,state,CDBG_AMT,ESG_AMT,HOME_AMT,HOPWA_AMT,TOT_AMT
0,Alameda,CA,12266410,1006460,7125236,2835545,23233651
1,Albany,NY,3368677,278205,922288,637488,5206658
2,Allegheny,PA,27641217,2271078,5539906,948891,36401092
3,Allen,IN,1958440,166262,1096554,0,3221256
4,Anchorage,AK,1726068,145198,733068,0,2604334
5,Anne Arundel,MD,1964167,158508,780628,0,2903303
6,Arapahoe,CO,2904239,241052,1238811,0,4384102
7,Baltimore,MD,25475654,2068101,6646024,8417340,42607119
8,Beaver,PA,3234180,267813,460805,0,3962798
9,Bergen,NJ,9104086,739508,2814468,0,12658062
10,Berks,PA,4896614,404289,1661108,0,6962011
11,Bernalillo,NM,4460081,357711,2147996,0,6965788
12,Bexar,TX,2389710,196678,737702,0,3324090
13,Bibb,GA,1835269,143001,862049,0,2840319
14,Brazoria,TX,1836324,144642,552808,0,2533774
15,Bristol,MA,5516664,455570,1993560,0,7965794
16,Broome,NY,1894684,154562,511176,0,2560422
17,Broward,FL,2728858,217454,3657397,0,6603709
18,Bucks,PA,2066394,160345,1069504,0,3296243
19,Buffalo,NY,13677706,1123496,3255279,720135,18776616
20,Cabell,WV,1757959,143682,704044,0,2605685
21,Caddo,LA,1808647,148890,913592,0,2871129
22,Camden,NJ,4810227,391289,1993894,925922,8121332
23,Cameron,TX,2698987,229698,920577,0,3849262
24,Charleston,SC,1762846,146328,798461,0,2707635
25,Chatham,GA,2265982,183495,890611,0,3340088
26,Chester,PA,2561340,209176,1152764,0,3923280
27,Clackamas,OR,2229364,179278,1065428,0,3474070
28,Clark,NV,14897574,1207714,6109469,1516285,23731042
29,Clark,OH,1838408,148427,543630,0,2530465
30,Clayton,GA,2632458,211985,1115833,0,3960276
31,Cobb,GA,3710086,284440,1606366,0,5600892
32,Collier,FL,2519179,191703,697393,0,3408275
33,Contra Costa,CA,4651189,368211,3451522,0,8470922
34,Cook,IL,94890007,7749331,27952311,9009631,139601280
35,Cumberland,ME,1895922,157131,1151710,0,3204763
36,Cuyahoga,OH,27081841,2216760,7564438,1241586,38104625
37,Dakota,MN,1941521,160273,2512927,0,4614721
38,Dallas,TX,21306045,1726342,8218522,6645116,37896025
39,Dane,WI,1876219,154219,1499232,0,3529670
40,Dauphin,PA,1959208,163379,480830,0,2603417
41,Davidson,TN,5095429,417516,2581408,1216011,9310364
42,De Kalb,GA,5249506,427296,2293057,0,7969859
43,Delaware,PA,3610623,296708,971710,0,4879041
44,Denver,CO,6859369,569662,3221104,2017134,12667269
45,Douglas,NE,4771095,390026,2296294,0,7457415
46,Du Page,IL,3953783,290385,1823932,0,6068100
47,Durham,NC,1994053,161862,1159276,379840,3695031
48,East Baton Rouge,LA,3145425,256333,1457679,2577040,7436477
49,East Tennessee,TN,1691055,140831,893257,0,2725143
50,El Paso,CO,2997381,243746,1521171,0,4762298
51,El Paso,TX,6255263,527078,2584816,492798,9859955
52,Erie,NY,3036359,222084,899449,0,4157892
53,Erie,PA,3086611,251291,904894,0,4242796
54,Essex,MA,4237519,344503,1786273,0,6368295
55,Essex,NJ,12368132,1008172,3846859,5867175,23090338
56,Fairfax,VA,5574509,447834,2103044,0,8125387
57,Fairfield,CT,3208903,258173,1182820,958450,5608346
58,Fayette,KY,2303582,187372,1314292,0,3805246
59,Forsyth,NC,2214393,177701,1378614,0,3770708
60,Fort Bend,TX,2650441,213917,685016,0,3549374
61,Franklin,OH,9002600,742216,5198187,1109448,16052451
62,Fresno,CA,9726663,856987,4249678,499903,15333231
63,Fulton,GA,9101317,778302,2998789,23101950,35980358
64,Genesee,MI,5701791,472750,1777887,0,7952428
65,Greenville,SC,2720479,220051,1225415,0,4165945
66,Guilford,NC,2161061,177564,1793959,419625,4552209
67,Gwinnett,GA,5690094,457865,2230090,0,8378049
68,Hamilton,OH,14877294,1228074,4277662,896793,21279823
69,Hampden,MA,3809591,309679,1579372,585390,6284032
70,Harris,TX,38984282,3212229,14626126,9738444,66561081
71,Hartford,CT,3351552,279651,1408188,1147501,6186892
72,Hennepin,MN,14138068,1151922,4700892,1361885,21352767
73,Henrico,VA,1692829,138560,897341,0,2728730
74,Hidalgo,TX,7561596,643979,2108495,0,10314070
75,Hillsborough,FL,10122217,798692,4456305,3864852,19242066
76,Hillsborough,NH,1833319,150641,675241,0,2659201
77,Hinds,MS,1886268,148069,967752,1453290,4455379
78,Honolulu,HI,8035248,648992,3141694,567630,12393564
79,Horry,SC,2066748,182883,1112810,0,3362441
80,Hudson,NJ,7572237,618618,4737587,2422186,15350628
81,Ingham,MI,2006536,167605,794822,0,2968963
82,Jackson,MO,7752278,639957,2380452,1419904,12192591
83,Jacksonville-Duval,FL,6323471,509671,3210204,2645991,12689337
