,state,county,fips,expense.rent,pop,Percent 20-49,Percent Male 20-49,Median Age,overall pop,u18 pop,18-24 pop,male pop,female pop,force,ue%,CDBG_AMT,ESG_AMT,HOME_AMT,HOPWA_AMT,TOT_AMT,inc,% change
0,AK,Anchorage,02020,10853.7142781554,291826,51.3,51.2,35.2,2320.0,328.0,203.0,1417.0,892.0,,,1726068.0,145198.0,733068.0,0.0,2604334.0,72032,2.2
1,AK,Fairbanks North Star,02090,11093.7142781554,97581,54.3,57.2,32.0,,,,,,45375.0,5.0,0.0,0.0,0.0,0.0,0.0,65314,4.8
2,AK,Kenai Peninsula,02122,9149.71427815536,55400,,,,,,,,,27945.0,7.3,0.0,0.0,0.0,0.0,0.0,59041,2.7
3,AK,Matanuska-Susitna,02170,8573.71427815536,88995,46.2,47.400000000000006,36.9,,,,,,49487.0,6.8,0.0,0.0,0.0,0.0,0.0,54207,3.7
4,AL,Autauga,01001,7145.71427815536,54571,,,,,,,,,26341.0,2.8,0.0,0.0,0.0,0.0,0.0,48347,5.6
5,AL,Baldwin,01003,8069.71427815536,182265,40.0,41.0,43.9,,,,,,99427.0,3.0,0.0,0.0,0.0,0.0,0.0,54659,6.1
6,AL,Barbour,01005,4829.71427815536,27457,,,,,,,,,8197.0,5.7,0.0,0.0,0.0,0.0,0.0,40428,6.5
7,AL,Blount,01009,7949.71427815536,57322,,,,,,,,,25127.0,2.4,0.0,0.0,0.0,0.0,0.0,42634,5
8,AL,Calhoun,01015,4949.71427815536,118572,42.1,42.10000000000001,40.2,,,,,,46118.0,4.1,0.0,0.0,0.0,0.0,0.0,42621,7.3
9,AL,Chambers,01017,5741.71427815536,34215,,,,,,,,,15752.0,3.7,0.0,0.0,0.0,0.0,0.0,39728,7.8
10,AL,Cherokee,01019,4493.71427815536,25989,,,,,,,,,11808.0,2.5,0.0,0.0,0.0,0.0,0.0,43719,4.4
11,AL,Chilton,01021,5381.71427815536,43643,,,,,,,,,19811.0,2.9,0.0,0.0,0.0,0.0,0.0,41748,6.5
12,AL,Clarke,01025,5249.71427815536,25833,,,,,,,,,7726.0,6.0,0.0,0.0,0.0,0.0,0.0,45232,11.9
13,AL,Coffee,01031,5489.71427815536,49948,,,,,,,,,21853.0,2.8,0.0,0.0,0.0,0.0,0.0,49196,5.3
14,AL,Colbert,01033,5201.71427815536,54428,,,,,,,,,23460.0,4.0,0.0,0.0,0.0,0.0,0.0,44279,8.4
15,AL,Covington,01039,4649.71427815536,37765,,,,,,,,,15215.0,3.0,0.0,0.0,0.0,0.0,0.0,41458,6.5
16,AL,Cullman,01043,5213.71427815536,80406,42.4,43.4,40.5,,,,,,38858.0,2.4,0.0,0.0,0.0,0.0,0.0,46061,4.7
17,AL,Dale,01045,4805.71427815536,50251,,,,,,,,,20915.0,3.1,0.0,0.0,0.0,0.0,0.0,43916,6.5
18,AL,Dallas,01047,5081.71427815536,43820,,,,,,,,,13959.0,7.4,0.0,0.0,0.0,0.0,0.0,41850,10.5
19,AL,DeKalb,01049,4637.71427815536,71109,40.8,42.2,40.2,,,,,,31097.0,2.5,0.0,0.0,0.0,0.0,0.0,40026,6
20,AL,Elmore,01051,7145.71427815536,79303,46.1,45.7,40.0,,,,,,37582.0,2.7,0.0,0.0,0.0,0.0,0.0,47381,5.8
21,AL,Escambia,01053,5381.71427815536,38319,,,,,,,,,14000.0,4.1,0.0,0.0,0.0,0.0,0.0,39363,8.4
22,AL,Etowah,01055,4793.71427815536,104430,41.8,42.50000000000001,41.5,,,,,,39262.0,4.1,0.0,0.0,0.0,0.0,0.0,42558,6.4
23,AL,Franklin,01059,5309.71427815536,31704,,,,,,,,,14304.0,2.5,0.0,0.0,0.0,0.0,0.0,40810,8.1
24,AL,Geneva,01061,5021.71427815536,26790,,,,,,,,,10993.0,2.8,0.0,0.0,0.0,0.0,0.0,41569,5.5
25,AL,Houston,01069,5021.71427815536,101547,43.1,42.6,40.5,,,,,,46880.0,3.4,0.0,0.0,0.0,0.0,0.0,50976,7.7
26,AL,Jackson,01071,5705.71427815536,53227,,,,,,,,,22975.0,2.9,0.0,0.0,0.0,0.0,0.0,43565,6.7
