,state,county,inc,% change
0,AL,Autauga,48347,5.6
1,AL,Baldwin,54659,6.1
2,AL,Barbour,40428,6.5
3,AL,Bibb,36892,8.8
4,AL,Blount,42634,5
5,AL,Bullock,33267,11.9
6,AL,Butler,46050,4.8
7,AL,Calhoun,42621,7.3
8,AL,Chambers,39728,7.8
9,AL,Cherokee,43719,4.4
10,AL,Chilton,41748,6.5
11,AL,Choctaw,44241,7.1
12,AL,Clarke,45232,11.9
13,AL,Clay,38705,8.1
14,AL,Cleburne,42836,5.2
15,AL,Coffee,49196,5.3
16,AL,Colbert,44279,8.4
17,AL,Conecuh,41656,10.8
18,AL,Coosa,38275,6.7
19,AL,Covington,41458,6.5
20,AL,Crenshaw,46038,5.2
21,AL,Cullman,46061,4.7
22,AL,Dale,43916,6.5
23,AL,Dallas,41850,10.5
24,AL,DeKalb,40026,6
25,AL,Elmore,47381,5.8
26,AL,Escambia,39363,8.4
27,AL,Etowah,42558,6.4
28,AL,Fayette,41672,5.9
29,AL,Franklin,40810,8.1
30,AL,Geneva,41569,5.5
31,AL,Greene,40461,10.7
32,AL,Hale,44085,8
33,AL,Henry,51184,4.2
34,AL,Houston,50976,7.7
35,AL,Jackson,43565,6.7
36,AL,Jefferson,62371,5.5
37,AL,Lamar,40114,7.5
38,AL,Lauderdale,44804,8
39,AL,Lawrence,42996,7.2
40,AL,Lee,45002,6.1
41,AL,Limestone,50326,6.1
42,AL,Lowndes,48852,7.8
43,AL,Macon,38412,10.2
44,AL,Madison,59852,6.3
45,AL,Marengo,47008,10.7
46,AL,Marion,40939,9.5
47,AL,Marshall,44416,7.6
48,AL,Mobile,46418,8.6
49,AL,Monroe,42872,11.1
50,AL,Montgomery,50337,7.9
51,AL,Morgan,47479,8.3
52,AL,Perry,40414,13
53,AL,Pickens,43039,7.4
54,AL,Pike,44659,8.4
55,AL,Randolph,41750,5.1
56,AL,Russell,39378,8.3
57,AL,St. Clair,47117,5.4
58,AL,Shelby,64350,4.5
59,AL,Sumter,38253,9.7
60,AL,Talladega,40668,7.1
61,AL,Tallapoosa,48344,6.2
62,AL,Tuscaloosa,43439,6.8
63,AL,Walker,47239,5.6
64,WA,Wilcox,39354,11.1
65,WA,Winston,41700,8.1
67,AK,Aleutians East Borough,60174,-5.1
68,AK,Aleutians West Census Area,65812,4.8
