state,county,overall pop,u18 pop,18-24 pop,male pop,female pop
AK,Anchorage,2320.0,328.0,203.0,1417.0,892.0
AK,Juneau,826.0,146.0,58.0,503.0,321.0
AL,Jefferson County,943.0,82.0,43.0,665.0,266.0
AL,Lauderdale,232.0,56.0,18.0,62.0,170.0
AL,Madison County,549.0,106.0,38.0,314.0,231.0
AL,Mobile County,585.0,148.0,30.0,352.0,230.0
AL,Montgomery County,1213.0,392.0,77.0,566.0,646.0
AL,Tuscaloosa County,40.0,4.0,0.0,20.0,20.0
AR,Garland County,814.0,50.0,87.0,494.0,317.0
AR,Jefferson County,69.0,10.0,7.0,45.0,24.0
AR,Pulaski County,2085.0,243.0,243.0,1327.0,749.0
AR,Washington County,343.0,80.0,16.0,216.0,123.0
AZ,Maricopa County,20352.0,2731.0,1608.0,13115.0,7152.0
AZ,Pima County,2227.0,232.0,225.0,1333.0,869.0
CA,Alameda County,9747.0,583.0,804.0,6036.0,3576.0
CA,Amador,625.0,49.0,28.0,367.0,256.0
CA,CAL Fire Contract Counties,1603.0,167.0,99.0,1067.0,518.0
CA,CAL Fire Northern Region,29026.0,2138.0,2526.0,18174.0,10055.0
CA,CAL Fire Southern Region,95602.0,9846.0,4324.0,62233.0,31523.0
CA,El Dorado,511.0,14.0,84.0,325.0,167.0
CA,Glenn,340.0,107.0,16.0,179.0,161.0
CA,Humboldt County,1648.0,47.0,61.0,1181.0,454.0
CA,Inyo,140.0,31.0,7.0,82.0,57.0
CA,Kings County,1235.0,87.0,70.0,769.0,461.0
CA,Lake,339.0,27.0,25.0,214.0,124.0
CA,Los Angeles County,3808.0,111.0,169.0,2669.0,1060.0
CA,Merced County,855.0,152.0,63.0,536.0,316.0
CA,Monterey County,2404.0,241.0,226.0,1717.0,656.0
CA,Napa County,495.0,17.0,29.0,321.0,170.0
CA,Placer,1277.0,119.0,68.0,769.0,499.0
CA,Riverside County,3316.0,257.0,312.0,2111.0,1185.0
CA,San Joaquin County,2319.0,329.0,96.0,1421.0,891.0
CA,Santa Clara County,10028.0,539.0,1190.0,6099.0,3722.0
CA,Solano County,1179.0,65.0,67.0,771.0,387.0
CA,Sonoma County,2893.0,106.0,507.0,1814.0,1005.0
CA,Sutter,1094.0,276.0,64.0,574.0,518.0
CA,Tehama,291.0,40.0,14.0,187.0,104.0
CA,Tulare County,1235.0,87.0,70.0,769.0,461.0
CA,Yolo County,746.0,91.0,47.0,473.0,272.0
CO,Denver,8199.0,956.0,428.0,5015.0,3073.0
CO,El Paso County,1406.0,283.0,110.0,855.0,528.0
CT,Greater Bridgeport COG,603.0,120.0,44.0,365.0,237.0
CT,Hartford,2327.0,440.0,161.0,1382.0,940.0
DC,Washington,4410.0,600.0,509.0,2722.0,1636.0
DE,New Castle County,2369.0,769.0,200.0,1234.0,1129.0
FL,Alachua County,925.0,85.0,38.0,605.0,316.0
FL,Bay County,378.0,27.0,21.0,234.0,139.0
FL,Brevard County,916.0,131.0,30.0,654.0,261.0
FL,Broward County,2054.0,252.0,67.0,1401.0,651.0
FL,Charlotte County,148.0,25.0,11.0,100.0,48.0
FL,Citrus,745.0,152.0,58.0,424.0,321.0
FL,Collier,462.0,104.0,20.0,269.0,191.0
FL,Columbia,488.0,102.0,21.0,292.0,194.0
FL,Duval County,1279.0,202.0,73.0,843.0,434.0
FL,Escambia County,727.0,21.0,20.0,544.0,179.0
FL,Highlands,650.0,40.0,0.0,460.0,190.0
FL,Hillsborough County,1513.0,290.0,50.0,974.0,534.0
FL,Indian River,846.0,178.0,49.0,518.0,325.0
FL,Lee County,560.0,98.0,32.0,341.0,219.0
FL,Leon County,621.0,102.0,16.0,375.0,245.0
FL,Marion County,455.0,86.0,15.0,293.0,162.0
FL,Miami-Dade County,3276.0,669.0,190.0,2027.0,1232.0
FL,Monroe County,526.0,44.0,13.0,394.0,130.0
FL,Okaloosa,403.0,42.0,27.0,246.0,154.0
FL,Orange County,2151.0,550.0,125.0,1278.0,864.0
FL,Pasco,589.0,84.0,28.0,352.0,237.0
FL,Pinellas County,1985.0,299.0,58.0,1300.0,677.0
FL,Polk County,506.0,99.0,25.0,306.0,199.0
FL,Sarasota County,1138.0,111.0,59.0,768.0,369.0
FL,St. Johns,349.0,25.0,17.0,212.0,137.0
FL,Volusia County,865.0,196.0,44.0,513.0,351.0
GA,Athens-Clarke County,283.0,59.0,23.0,146.0,136.0
GA,Chatham County,523.0,136.0,33.0,366.0,157.0
GA,Cobb County,380.0,93.0,17.0,204.0,175.0
