OBJECTID,UOGID,NAME,TYPE,STUSAB,STATE,CDBG_AMT,ESG_AMT,HOME_AMT,HOPWA_AMT,TOT_AMT,YEAR,SHAPE_Length,SHAPE_Area
1,61152,EL MONTE,52,CA,6,1729563,143759,733071,0,2606393,2018,0.322466259,0.002440529
2,61230,ESCONDIDO,52,CA,6,1791466,143015,648960,0,2583441,2018,1.616819332,0.00934282
3,61410,FRESNO,51,CA,6,6904510,578163,3180063,499903,11162639,2018,3.494200702,0.02984104
4,61464,GLENDALE,51,CA,6,1852537,147107,1301897,0,3301541,2018,0.568092783,0.007742625
5,62088,LONG BEACH,51,CA,6,6099577,496583,3011176,0,9607336,2018,1.651578244,0.012913429
6,62292,MODESTO,51,CA,6,2003752,164535,992925,0,3161212,2018,1.613785329,0.011846787
7,62367,MORENO VALLEY,52,CA,6,2100293,174726,744392,0,3019411,2018,0.792715319,0.012998553
8,62508,OAKLAND,51,CA,6,7584263,628532,3042249,2835545,14090589,2018,1.498896324,0.015683643
9,62622,OXNARD,51,CA,6,2502719,196549,791219,0,3490487,2018,0.969038517,0.006886314
10,62724,PASADENA,51,CA,6,1984992,158823,818655,0,2962470,2018,0.85215542,0.005856337
11,63048,RIVERSIDE,51,CA,6,3281692,275223,1218230,2587369,7362514,2018,1.063668095,0.020579605
12,63144,SACRAMENTO,51,CA,6,4864247,399920,2633111,1177649,9074927,2018,1.629292249,0.02679951
13,69037,LOS ANGELES COUNTY,61,CA,6,23428902,1870616,9194761,0,34494279,2018,23.38111885,0.750508627
14,69077,SAN JOAQUIN COUNTY,61,CA,6,2684764,222298,1109301,0,4016363,2018,6.248207417,0.355786259
15,122292,ORLANDO,51,FL,12,2122812,167990,1277372,3841118,7409292,2018,3.950324953,0.026431913
16,63162,SALINAS,51,CA,6,2093734,170830,838381,0,3102945,2018,0.517490762,0.006244856
17,63210,SAN DIEGO,51,CA,6,11853593,982411,5778826,3686397,22301227,2018,4.323137879,0.082064963
18,63228,SAN FRANCISCO,51,CA,6,18139217,1479175,5896427,7162248,32677067,2018,1.225899755,0.012552182
19,63342,SANTA ANA,51,CA,6,5816959,475700,1783004,0,8075663,2018,0.657537307,0.006887583
20,69001,ALAMEDA COUNTY,61,CA,6,2002219,158448,3289478,0,5450145,2018,5.394709507,0.120968061
21,429011,BERKS COUNTY,61,PA,42,2292600,186472,633868,0,3112940,2018,2.595629842,0.23513505
22,429029,CHESTER COUNTY,61,PA,42,2561340,209176,1152764,0,3923280,2018,2.662684759,0.207310733
23,429045,DELAWARE COUNTY,61,PA,42,3610623,296708,971710,0,4879041,2018,1.874220039,0.044315016
24,429071,LANCASTER COUNTY,61,PA,42,2863387,235509,1837064,0,4935960,2018,3.359115836,0.266892346
25,429079,LUZERNE COUNTY,61,PA,42,4145468,340729,765483,0,5251680,2018,3.009128359,0.246721084
26,429091,MONTGOMERY COUNTY,61,PA,42,3267341,265971,1329959,0,4863271,2018,2.819450615,0.111831797
27,429125,WASHINGTON COUNTY,61,PA,42,3477368,284470,632569,0,4394407,2018,2.641427978,0.235863368
28,429133,YORK COUNTY,61,PA,42,2158832,174860,884681,0,3218373,2018,3.020747403,0.247026365
29,429999,PENNSYLVANIA,21,PA,42,40661628,5564720,21049020,3114895,70390263,2018,31.64668599,10.11252272
30,440210,PAWTUCKET,52,RI,44,1870542,155978,547363,0,2573883,2018,0.276150618,0.002482439
31,449999,RHODE ISLAND,21,RI,44,5437131,680116,3723228,0,9840475,2018,8.896296568,0.294382152
32,459019,CHARLESTON COUNTY,61,SC,45,1762846,146328,798461,0,2707635,2018,21.21749018,0.219709653
33,459051,HORRY COUNTY,61,SC,45,2066748,182883,1112810,0,3362441,2018,5.124280474,0.280575031
34,459063,LEXINGTON COUNTY,61,SC,45,1792871,143711,711436,0,2648018,2018,3.152004705,0.193990486
35,469999,SOUTH DAKOTA,21,SD,46,5700865,582097,3008138,0,9291100,2018,23.90420035,22.57827835
36,470336,CHATTANOOGA,51,TN,47,1691055,140831,893257,0,2725143,2018,2.784856184,0.037624741
37,471242,MEMPHIS,51,TN,47,6586442,540655,3580035,3547703,14254835,2018,2.592311394,0.083422532
38,340414,CAMDEN,51,NJ,34,2432146,197146,877220,925922,4432434,2018,0.297355611,0.002822172
39,179097,LAKE COUNTY,61,IL,17,2882825,216362,1684900,0,4784087,2018,4.040891419,0.133884164
40,179197,WILL COUNTY,61,IL,17,2090783,141915,1284391,0,3517089,2018,10.54370691,0.222426436
41,180954,EVANSVILLE,51,IN,18,2625817,217217,738503,0,3581537,2018,0.806093545,0.012783498
42,181104,GARY,51,IN,18,3288214,272407,623955,0,4184576,2018,0.701010685,0.014037478
43,69013,CONTRA COSTA COUNTY,61,CA,6,4651189,368211,3451522,0,8470922,2018,5.310678034,0.174784521
44,69029,KERN COUNTY,61,CA,6,4824203,366542,1972907,0,7163652,2018,13.28033098,2.047642255
45,69059,ORANGE COUNTY,61,CA,6,3253262,215846,1050496,0,4519604,2018,7.262358759,0.09279666
46,69067,SACRAMENTO COUNTY,61,CA,6,5713987,461638,3180255,0,9355880,2018,6.040632256,0.216736977
47,69071,SAN BERNARDINO COUNTY,61,CA,6,7199407,586907,3394488,0,11180802,2018,16.31354979,4.995469956
48,69079,SAN LUIS OBISPO COUNTY,61,CA,6,1912980,148036,1051839,0,3112855,2018,6.552797396,0.852434726
49,69081,SAN MATEO COUNTY,61,CA,6,2606598,205222,1617142,0,4428962,2018,3.837819638,0.106935002
50,69097,SONOMA COUNTY,61,CA,6,1859218,152599,887581,0,2899398,2018,6.791066385,0.410488904
51,80288,COLORADO SPRINGS,51,CO,8,2997381,243746,1521171,0,4762298,2018,3.293184975,0.052677801
52,90102,BRIDGEPORT,51,CT,9,3208903,258173,1182820,958450,5608346,2018,0.656168534,0.004563608
53,90726,NEW HAVEN,51,CT,9,3761700,307289,1344897,1076899,6490785,2018,0.556000251,0.005363176
54,100336,WILMINGTON,51,DE,10,2183011,182956,552461,772728,3691156,2018,0.487151406,0.003228159
55,109999,DELAWARE,21,DE,10,2254936,201681,3008138,270436,5735191,2018,7.314824146,0.414480161
56,91194,WATERBURY,52,CT,9,2146218,175851,859735,0,3181804,2018,0.401801453,0.008090556
57,110006,DISTRICT OF COLUMBIA,51,DC,11,15223007,1241749,5637890,11221025,33323671,2018,1.167732876,0.016742094
58,121236,HIALEAH,52,FL,12,2709505,207078,1435652,0,4352235,2018,0.507306078,0.005314597
59,122724,ST PETERSBURG,51,FL,12,1774180,146784,940914,0,2861878,2018,3.186329284,0.015268837
60,123000,TALLAHASSEE,51,FL,12,1887892,160982,983614,0,3032488,2018,3.242206974,0.025134807
61,123012,TAMPA,51,FL,12,3159459,251923,1695248,3864852,8971482,2018,2.99898466,0.028155888
62,129011,BROWARD COUNTY,61,FL,12,2728858,217454,3657397,0,6603709,2018,5.804843711,0.207214411
63,129021,COLLIER COUNTY,61,FL,12,2519179,191703,697393,0,3408275,2018,11.92162526,0.472859502
64,129057,HILLSBOROUGH COUNTY,61,FL,12,6962758,546769,2761057,0,10270584,2018,6.356208319,0.226782398
65,129071,LEE COUNTY,61,FL,12,3008725,238555,983519,0,4230799,2018,14.21503242,0.150125895
66,339999,NEW HAMPSHIRE,21,NH,33,8849833,870215,3879488,0,13599536,2018,12.53965943,2.668740111
67,330930,MANCHESTER,51,NH,33,1833319,150641,675241,0,2659201,2018,0.537185565,0.009993807
68,129081,MANATEE COUNTY,61,FL,12,1891041,148976,684100,0,2724117,2018,7.846676585,0.173729388
69,129086,MIAMI-DADE COUNTY,61,FL,12,12757975,1040107,4844547,0,18642629,2018,9.730756424,0.432500631
70,129095,ORANGE COUNTY,61,FL,12,6508258,518950,2749111,0,9776319,2018,13.32536565,0.191865503
71,129101,PASCO COUNTY,61,FL,12,2905340,233424,1184193,0,4322957,2018,4.832384858,0.178099411
72,129103,PINELLAS COUNTY,61,FL,12,2431096,224144,1349340,0,4004580,2018,10.75035722,0.039106212
73,129105,POLK COUNTY,61,FL,12,3496218,265524,1277198,0,5038940,2018,12.83250052,0.435862399
74,129117,SEMINOLE COUNTY,61,FL,12,1906512,149759,734777,0,2791048,2018,3.359498406,0.076296939
75,129127,VOLUSIA COUNTY,61,FL,12,1856367,155890,802479,0,2814736,2018,12.44715472,0.257709796
76,130174,ATLANTA,51,GA,13,7185087,595393,2136864,23101950,33019294,2018,1.563187016,0.033780859
