,state,county,fips
67,AK,Aleutians East,02013
68,AK,Aleutians West,02016
70,AK,Anchorage,02020
72,AK,Bethel,02050
74,AK,Bristol Bay,02060
76,AK,Denali,02068
78,AK,Dillingham,02070
80,AK,Fairbanks North Star,02090
82,AK,Haines,02100
84,AK,Juneau,02110
86,AK,Kenai Peninsula,02122
88,AK,Ketchikan Gateway,02130
90,AK,Kodiak Island,02150
92,AK,Lake and Peninsula,02164
94,AK,Matanuska-Susitna,02170
96,AK,Nome,02180
98,AK,North Slope,02185
100,AK,Northwest Arctic,02188
103,AK,Sitka,02220
105,AK,Skagway-Hoonah-Angoon,02232
107,AK,Southeast Fairbanks,02240
109,AK,Valdez-Cordova,02261
111,AK,Wade Hampton,02270
113,AK,Wrangell-Petersburg,02280
115,AK,Yakutat,02282
117,AK,Yukon-Koyukuk,02290
0,AL,Autauga,01001
2,AL,Baldwin,01003
4,AL,Barbour,01005
6,AL,Bibb,01007
8,AL,Blount,01009
10,AL,Bullock,01011
12,AL,Butler,01013
14,AL,Calhoun,01015
16,AL,Chambers,01017
18,AL,Cherokee,01019
20,AL,Chilton,01021
22,AL,Choctaw,01023
24,AL,Clarke,01025
26,AL,Clay,01027
28,AL,Cleburne,01029
30,AL,Coffee,01031
32,AL,Colbert,01033
34,AL,Conecuh,01035
36,AL,Coosa,01037
38,AL,Covington,01039
40,AL,Crenshaw,01041
42,AL,Cullman,01043
44,AL,Dale,01045
46,AL,Dallas,01047
48,AL,DeKalb,01049
50,AL,Elmore,01051
52,AL,Escambia,01053
54,AL,Etowah,01055
56,AL,Fayette,01057
58,AL,Franklin,01059
60,AL,Geneva,01061
62,AL,Greene,01063
64,AL,Hale,01065
66,AL,Henry,01067
1,AL,Houston,01069
3,AL,Jackson,01071
5,AL,Jefferson,01073
7,AL,Lamar,01075
9,AL,Lauderdale,01077
11,AL,Lawrence,01079
13,AL,Lee,01081
15,AL,Limestone,01083
17,AL,Lowndes,01085
19,AL,Macon,01087
21,AL,Madison,01089
23,AL,Marengo,01091
25,AL,Marion,01093
27,AL,Marshall,01095
29,AL,Mobile,01097
31,AL,Monroe,01099
33,AL,Montgomery,01101
35,AL,Morgan,01103
37,AL,Perry,01105
39,AL,Pickens,01107
41,AL,Pike,01109
43,AL,Randolph,01111
45,AL,Russell,01113
49,AL,Shelby,01117
47,AL,St. Clair,01115
51,AL,Sumter,01119
53,AL,Talladega,01121
55,AL,Tallapoosa,01123
57,AL,Tuscaloosa,01125
59,AL,Walker,01127
61,AL,Washington,01129
63,AL,Wilcox,01131
65,AL,Winston,01133
77,AR,Arkansas,05001
79,AR,Ashley,05003
81,AR,Baxter,05005
83,AR,Benton,05007
85,AR,Boone,05009
87,AR,Bradley,05011
89,AR,Calhoun,05013
91,AR,Carroll,05015
93,AR,Chicot,05017
95,AR,Clark,05019
97,AR,Clay,05021
99,AR,Cleburne,05023
101,AR,Cleveland,05025
104,AR,Craighead,05031
106,AR,Crawford,05033
108,AR,Crittenden,05035
110,AR,Cross,05037
112,AR,Dallas,05039
114,AR,Desha,05041
116,AR,Drew,05043
118,AR,Faulkner,05045
120,AR,Franklin,05047
122,AR,Fulton,05049
124,AR,Garland,05051
126,AR,Grant,05053
128,AR,Greene,05055
130,AR,Hempstead,05057
132,AR,Hot Spring,05059
134,AR,Howard,05061
136,AR,Independence,05063
138,AR,Izard,05065
140,AR,Jackson,05067
141,AR,Jefferson,05069
143,AR,Johnson,05071
145,AR,Lafayette,05073
147,AR,Lawrence,05075
149,AR,Lee,05077
151,AR,Lincoln,05079
153,AR,Little River,05081
155,AR,Logan,05083
157,AR,Lonoke,05085
159,AR,Madison,05087
161,AR,Marion,05089
163,AR,Miller,05091
165,AR,Mississippi,05093
167,AR,Monroe,05095
169,AR,Montgomery,05097
171,AR,Nevada,05099
173,AR,Newton,05101
175,AR,Ouachita,05103
177,AR,Perry,05105
179,AR,Phillips,05107
181,AR,Pike,05109
183,AR,Poinsett,05111
185,AR,Polk,05113
187,AR,Pope,05115
189,AR,Prairie,05117
191,AR,Pulaski,05119
193,AR,Randolph,05121
197,AR,Saline,05125
199,AR,Scott,05127
201,AR,Searcy,05129
203,AR,Sebastian,05131
205,AR,Sevier,05133
207,AR,Sharp,05135
195,AR,St. Francis,05123
209,AR,Stone,05137
211,AR,Union,05139
213,AR,Van Buren,05141
215,AR,Washington,05143
142,AR,White,05145
144,AR,Woodruff,05147
146,AR,Yell,05149
3173,AS,Eastern,60010
3175,AS,Manu'a,60020
3177,AS,Rose Island,60030
3179,AS,Swains Island,60040
3106,AS,Western,60050
119,AZ,Apache,04001
121,AZ,Cochise,04003
123,AZ,Coconino,04005
125,AZ,Gila,04007
127,AZ,Graham,04009
129,AZ,Greenlee,04011
131,AZ,La Paz,04012
133,AZ,Maricopa,04013
135,AZ,Mohave,04015
137,AZ,Navajo,04017
139,AZ,Pima,04019
69,AZ,Pinal,04021
71,AZ,Santa Cruz,04023
73,AZ,Yavapai,04025
75,AZ,Yuma,04027
148,CA,Alameda,06001
150,CA,Alpine,06003
152,CA,Amador,06005
154,CA,Butte,06007
156,CA,Calaveras,06009
158,CA,Colusa,06011
160,CA,Contra Costa,06013
162,CA,Del Norte,06015
164,CA,El Dorado,06017
166,CA,Fresno,06019
168,CA,Glenn,06021
170,CA,Humboldt,06023
172,CA,Imperial,06025
174,CA,Inyo,06027
176,CA,Kern,06029
178,CA,Kings,06031
180,CA,Lake,06033
182,CA,Lassen,06035
184,CA,Los Angeles,06037
186,CA,Madera,06039
188,CA,Marin,06041
190,CA,Mariposa,06043
192,CA,Mendocino,06045
194,CA,Merced,06047
196,CA,Modoc,06049
198,CA,Mono,06051
200,CA,Monterey,06053
202,CA,Napa,06055
204,CA,Nevada,06057
206,CA,Orange,06059
208,CA,Placer,06061
210,CA,Plumas,06063
212,CA,Riverside,06065
214,CA,Sacramento,06067
216,CA,San Benito,06069
217,CA,San Bernardino,06071
219,CA,San Diego,06073
221,CA,San Francisco,06075
223,CA,San Joaquin,06077
225,CA,San Luis Obispo,06079
227,CA,San Mateo,06081
229,CA,Santa Barbara,06083
231,CA,Santa Clara,06085
233,CA,Santa Cruz,06087
235,CA,Shasta,06089
237,CA,Sierra,06091
239,CA,Siskiyou,06093
241,CA,Solano,06095
243,CA,Sonoma,06097
245,CA,Stanislaus,06099
247,CA,Sutter,06101
249,CA,Tehama,06103
251,CA,Trinity,06105
253,CA,Tulare,06107
255,CA,Tuolumne,06109
257,CA,Ventura,06111
259,CA,Yolo,06113
261,CA,Yuba,06115
263,CO,Adams,08001
